educational_program,educational_program
1,6b06101 computer science
2,6b06102 software engineering
3,6b06103 big data analysis
4,6b06105 media technologies
5,6b06106 mathematical and computational science
6,6b06801 big data in healthcare
7,6b06301 cybersecurity
8,6b06302 smart security technologies
9,6b06202 smart technologies
10,6b07101 industrial internet of things
11,6b07102 electronic engineering
12,6b07103 digital technologies in nuclear power engineering
13,6b04101 it management
14,6b04102 it entrepreneurship
15,6b04103 ai business
16,6b04104 digital public administration
17,6b03201 digital journalism
18,7m06103 applied data analytics
19,7m06104 computational science
20,7m06105 computer science and engineering
21,7m06106 secure software engineering
22,7м06107 media technologies
23,7m06108 applied artificial intelligence
24,8d06101 computer science
25,8d06102 artificial intelligence
26,8d04101 project management
