Отметка времени,Баллы,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
2025-11-24 21:37:24.592,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,rather satisfied,often,important,less than 1 hour,personal motivation
2025-11-24 22:16:13.387,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,above 3.5,90-100%,technical sciences,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,important,less than 1 hour,financial situation
2025-11-26 08:34:28.807,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.1-3.2,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
2025-11-26 08:35:26.000,0,male,22-23,master,7M06105 Computer Science and Engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,less than 6 hours,high,no,full support,rarely,high,rather satisfied,often,important,2–8 hours,personal motivation
2025-11-26 08:36:18.976,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
2025-11-26 08:42:11.146,0,male,20-21,phd,7M06105 Computer Science and Engineering,2 year,below 2.7,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,often,average,rather dissatisfied,never,slightly important,less than 1 hour,stress level
2025-11-26 08:43:28.789,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,often,low,rather dissatisfied,never,slightly important,less than 1 hour,interest in the subject
2025-11-26 08:45:21.520,0,male,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,often,low,not satisfied at all,never,slightly important,do not prepare,interest in the subject
2025-11-26 08:46:16.040,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,low,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
2025-11-26 08:47:08.978,0,female,20-21,master,7M06105 Computer Science and Engineering,1 year,below 2.7,70-79%,humanities,do not prepare,7-9 hours,average,"yes, part-time",partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,interest in the subject
