feature,dtype,non_null_count,missing_count,unique_values,most_common_value
age_num,float64,192,0,5,22.5
average_attendance_num,float64,192,0,5,95.0
average_gpa_num,float64,192,0,7,3.0999999999999996
average_sleep_hours_num,float64,192,0,3,8.0
communication_skills_num,float64,192,0,5,4.0
degree_num,float64,192,0,3,1.0
exam_preparation_hours_num,float64,192,0,9,2.5
financial_support_from_family_num,float64,192,0,3,2.0
gender_num,float64,192,0,2,1.0
has_job_num,float64,192,0,3,0.0
importance_of_interest_in_subject_num,float64,192,0,5,4.0
motivation_level_num,float64,192,0,5,3.0
self_study_hours_num,float64,192,0,4,2.0
stress_frequency_num,float64,191,1,5,3.0
teacher_competence_satisfaction_num,float64,192,0,5,4.0
use_of_university_resources_num,float64,192,0,5,3.0
year_of_study_num,float64,192,0,2,1.0
age,str,192,0,5,22-23
average_attendance,str,192,0,5,90-100%
average_gpa,str,192,0,7,2.8-3.4
average_sleep_hours,str,192,0,3,7-9 hours
communication_skills,str,192,0,5,high
degree,str,192,0,3,bachelor
educational_program,str,192,0,10,7m06105 computer science and engineering
exam_preparation_hours,str,192,0,9,less than 5 hours
financial_support_from_family,str,192,0,3,full support
gender,str,192,0,2,female
has_job,str,192,0,3,no
importance_of_interest_in_subject,str,192,0,5,important
most_influencing_factor,str,192,0,7,personal motivation
motivation_level,str,192,0,5,average
preferred_field_of_study,str,192,0,3,technical sciences
self_study_hours,str,192,0,4,1-3 hours
stress_frequency,str,191,1,5,sometimes
teacher_competence_satisfaction,str,192,0,5,rather satisfied
use_of_university_resources,str,192,0,5,sometimes
year_of_study,str,192,0,2,1 year
