educational_program,student_count,median_gpa,median_attendance,median_self_study,median_sleep
7m06105 computer science and engineering,64,3.1500000000000004,84.5,2.0,8.0
6b06105 media technologies,56,3.0999999999999996,95.0,2.0,8.0
6b03201 digital journalism,30,3.0999999999999996,95.0,2.0,8.0
7m06103 applied data analytics,24,3.1500000000000004,84.5,2.0,8.0
7m06107 media technologies,8,3.0999999999999996,95.0,2.0,8.0
7m06104 computational science,5,3.3499999999999996,84.5,2.0,8.0
6b04102 it entrepreneurship,2,3.0999999999999996,89.75,2.0,5.5
6b06102 software engineering,1,3.6,95.0,0.5,3.0
7m06108 applied artificial intelligence,1,3.1500000000000004,74.5,0.5,8.0
6b07101 industrial internet of things,1,2.9,74.5,2.0,8.0
