feature,age_num,average_gpa_num,average_attendance_num,self_study_hours_num,average_sleep_hours_num,exam_preparation_hours_num,motivation_level_num,stress_frequency_num,importance_of_interest_in_subject_num,teacher_competence_satisfaction_num,use_of_university_resources_num,has_job_num,financial_support_from_family_num,communication_skills_num,gender_num,degree_num,year_of_study_num
age_num,1.0,0.241,-0.327,-0.057,0.359,-0.132,0.209,-0.245,-0.454,-0.264,-0.276,0.549,-0.418,-0.079,-0.27,0.833,0.756
average_gpa_num,0.241,1.0,0.262,0.286,0.34,0.335,0.549,-0.069,0.034,0.305,0.155,0.003,0.026,0.327,-0.186,0.181,0.186
average_attendance_num,-0.327,0.262,1.0,0.388,0.037,0.367,0.305,0.241,0.412,0.47,0.388,-0.301,0.335,0.4,0.031,-0.377,-0.298
self_study_hours_num,-0.057,0.286,0.388,1.0,0.205,0.482,0.392,0.257,0.358,0.473,0.408,-0.164,0.233,0.426,-0.105,-0.155,-0.066
average_sleep_hours_num,0.359,0.34,0.037,0.205,1.0,0.096,0.305,-0.192,-0.109,0.114,0.001,0.12,-0.018,0.166,-0.23,0.379,0.284
exam_preparation_hours_num,-0.132,0.335,0.367,0.482,0.096,1.0,0.409,0.24,0.311,0.446,0.384,-0.218,0.118,0.389,-0.194,-0.154,-0.182
motivation_level_num,0.209,0.549,0.305,0.392,0.305,0.409,1.0,-0.031,0.174,0.46,0.271,0.036,0.103,0.409,-0.262,0.25,0.182
stress_frequency_num,-0.245,-0.069,0.241,0.257,-0.192,0.24,-0.031,1.0,0.364,0.117,0.227,-0.2,0.243,0.2,0.046,-0.281,-0.305
importance_of_interest_in_subject_num,-0.454,0.034,0.412,0.358,-0.109,0.311,0.174,0.364,1.0,0.432,0.409,-0.356,0.326,0.403,0.09,-0.526,-0.373
teacher_competence_satisfaction_num,-0.264,0.305,0.47,0.473,0.114,0.446,0.46,0.117,0.432,1.0,0.409,-0.292,0.332,0.561,-0.063,-0.231,-0.226
use_of_university_resources_num,-0.276,0.155,0.388,0.408,0.001,0.384,0.271,0.227,0.409,0.409,1.0,-0.203,0.222,0.256,-0.004,-0.301,-0.265
has_job_num,0.549,0.003,-0.301,-0.164,0.12,-0.218,0.036,-0.2,-0.356,-0.292,-0.203,1.0,-0.642,-0.198,-0.063,0.641,0.497
financial_support_from_family_num,-0.418,0.026,0.335,0.233,-0.018,0.118,0.103,0.243,0.326,0.332,0.222,-0.642,1.0,0.229,0.13,-0.454,-0.347
communication_skills_num,-0.079,0.327,0.4,0.426,0.166,0.389,0.409,0.2,0.403,0.561,0.256,-0.198,0.229,1.0,-0.03,-0.159,-0.117
gender_num,-0.27,-0.186,0.031,-0.105,-0.23,-0.194,-0.262,0.046,0.09,-0.063,-0.004,-0.063,0.13,-0.03,1.0,-0.306,-0.119
degree_num,0.833,0.181,-0.377,-0.155,0.379,-0.154,0.25,-0.281,-0.526,-0.231,-0.301,0.641,-0.454,-0.159,-0.306,1.0,0.725
year_of_study_num,0.756,0.186,-0.298,-0.066,0.284,-0.182,0.182,-0.305,-0.373,-0.226,-0.265,0.497,-0.347,-0.117,-0.119,0.725,1.0
