feature,feature_type,used_in_scenario_a,used_in_scenario_b,is_target
gender,nominal_categorical,True,True,False
age,ordinal_categorical,True,True,False
degree,ordinal_categorical,True,True,False
educational_program,nominal_categorical,True,True,False
year_of_study,ordinal_categorical,True,True,False
average_gpa,ordinal_categorical,True,False,False
average_attendance,ordinal_categorical,True,False,False
preferred_field_of_study,nominal_categorical,True,True,False
self_study_hours,ordinal_categorical,True,True,False
average_sleep_hours,ordinal_categorical,True,True,False
motivation_level,ordinal_categorical,True,True,False
has_job,ordinal_categorical,True,True,False
financial_support_from_family,ordinal_categorical,True,True,False
stress_frequency,ordinal_categorical,True,True,False
communication_skills,ordinal_categorical,True,True,False
teacher_competence_satisfaction,ordinal_categorical,True,True,False
use_of_university_resources,ordinal_categorical,True,True,False
importance_of_interest_in_subject,ordinal_categorical,True,True,False
exam_preparation_hours,ordinal_categorical,True,True,False
most_influencing_factor,nominal_categorical,True,True,False
academic_risk,binary_target,True,True,True
