gender,age,degree,educational_program,year_of_study,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,academic_risk
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,high,"yes, part-time",partial support,often,very high,hard to say,often,very important,2-8 hours,personal motivation,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,high,no,full support,sometimes,very high,rather satisfied,sometimes,very important,2-8 hours,personal motivation,0
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,average,"yes, part-time",full support,often,very high,rather satisfied,sometimes,very important,2-8 hours,personal motivation,0
male,18-19,bachelor,6b03201 digital journalism,1 year,technical sciences,1-3 hours,less than 6 hours,average,no,partial support,never,high,hard to say,rarely,very important,2-8 hours,interest in the subject,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,high,no,full support,very often,average,rather dissatisfied,often,very important,2-8 hours,quality of teaching,1
male,16-17,bachelor,6b06105 media technologies,1 year,humanities,less than 1 hour,less than 6 hours,average,no,full support,sometimes,low,hard to say,rarely,moderately important,2-8 hours,personal motivation,1
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,less than 6 hours,high,no,full support,often,high,rather satisfied,often,very important,2-8 hours,interest in the subject,1
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,average,no,full support,often,very high,rather satisfied,sometimes,very important,2-8 hours,amount of self-study,1
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,more than 4 hours,less than 6 hours,average,"yes, full-time",full support,often,average,hard to say,rarely,very important,2-8 hours,stress level,1
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,average,"yes, part-time",partial support,often,average,hard to say,sometimes,important,more than 16 hours,amount of self-study,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,very high,no,full support,rarely,very high,rather satisfied,sometimes,very important,more than 16 hours,personal motivation,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,less than 1 hour,less than 6 hours,very low,no,partial support,often,high,rather satisfied,often,very important,2-8 hours,quality of teaching,1
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,average,no,full support,sometimes,high,rather satisfied,often,important,9-15 hours,interest in the subject,0
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,less than 6 hours,average,no,full support,very often,average,rather satisfied,often,important,2-8 hours,personal motivation,0
male,18-19,master,6b03201 digital journalism,1 year,humanities,less than 1 hour,7-9 hours,high,"yes, part-time",full support,often,average,rather satisfied,rarely,very important,2-8 hours,personal motivation,0
male,18-19,bachelor,6b04102 it entrepreneurship,1 year,humanities,1-3 hours,7-9 hours,high,no,partial support,sometimes,high,rather satisfied,sometimes,important,9-15 hours,interest in the subject,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,less than 1 hour,7-9 hours,average,no,partial support,rarely,very high,fully satisfied,never,moderately important,2-8 hours,personal motivation,0
female,18-19,bachelor,6b03201 digital journalism,1 year,computer sciences,1-3 hours,less than 6 hours,low,no,full support,often,average,hard to say,often,moderately important,2-8 hours,quality of teaching,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,less than 6 hours,average,"yes, part-time",full support,often,high,rather satisfied,sometimes,important,2-8 hours,family support,0
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,7-9 hours,low,no,full support,very often,high,hard to say,often,important,2-8 hours,amount of self-study,0
female,16-17,bachelor,6b06102 software engineering,1 year,technical sciences,less than 1 hour,less than 6 hours,average,no,no financial support,very often,very low,hard to say,often,very important,2-8 hours,financial situation,0
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,1-3 hours,less than 6 hours,average,no,full support,very often,high,hard to say,sometimes,important,2-8 hours,amount of self-study,0
female,16-17,bachelor,6b03201 digital journalism,1 year,humanities,more than 4 hours,7-9 hours,average,no,full support,often,high,fully satisfied,often,very important,2-8 hours,amount of self-study,0
